Subject,Gender,Year,Number Sat,% of Total No. Sat,A*,A,B,C,D,E,F,G,U
Other modern lang.,Male,2011,11695,0.5,30.6,25,16.3,11.9,7.4,4.2,2.2,1.7,0.7
Other modern lang.,Female,2012,16663,0.6,36.6,25.8,15.7,10.5,5.8,2.9,1.2,1,0.5
Other modern lang.,Female,2011,14562,0.6,35.6,26,16.2,10.4,5.9,3.3,1.4,0.7,0.5
Other modern lang.,Male & Female,2012,29843,0.6,34.5,24.8,16.3,11.3,6.5,3.4,1.5,1.1,0.6
Other modern lang.,Male & Female,2011,26257,0.5,33.4,25.5,16.3,11.1,6.5,3.7,1.8,1.1,0.6
Other sciences ,Male,2012,5617,0.2,8.8,14.3,19.2,17.8,15,9.9,6.9,4.4,3.7
Other sciences ,Male,2011,5512,0.2,9.5,13.5,18.1,17.3,15.6,11.3,7.4,4.5,2.8
Other sciences ,Female,2012,3786,0.1,3.6,12.1,16.5,21.1,18.2,12.5,7.4,4.7,3.9
Other sciences ,Female,2011,3746,0.1,4.7,10,16.2,20.7,18.5,13.9,8.1,4.2,3.7
Other sciences ,Male & Female,2012,9403,0.2,6.8,13.3,18.1,19.1,16.4,10.9,7.1,4.5,3.8
Other sciences ,Male & Female,2011,9258,0.2,7.5,12.2,17.2,18.7,16.8,12.4,7.6,4.4,3.2
Other technology ,Male,2012,1336,0.1,0.4,4.2,16.7,23,22.5,19.8,7.7,3.7,2
Other technology ,Male,2011,1305,0.1,0.3,4.6,16.8,21.5,21.1,18.5,10.8,3.5,2.9
Other technology ,Female,2012,111,0,0.9,4.5,11.7,23.4,20.8,22.5,7.2,5.4,3.6
Other technology ,Female,2011,99,0,0,3,12.2,22.2,21.2,18.2,8,8.1,7.1
Other technology ,Male & Female,2012,1447,0,0.4,4.3,16.2,23.1,22.4,20,7.7,3.8,2.1
Other technology ,Male & Female,2011,1404,0,0.3,4.5,16.4,21.6,21.1,18.5,10.6,3.8,3.2
All other subjects,Male,2012,13162,0.5,1,6.6,17,25.3,24,14.2,6.5,2.7,2.7
All other subjects,Male,2011,12731,0.5,1.1,6.8,16.7,24.8,23.1,14.4,7.4,3.1,2.6
All other subjects,Female,2012,15892,0.6,2.3,12.8,24.1,24.9,19.5,10,3.8,1.4,1.2
All other subjects,Female,2011,14703,0.6,2.4,13.2,23.4,24.8,18.3,10.2,4.4,1.8,1.5
All other subjects,Male & Female,2012,29054,0.6,1.7,10,20.9,25.1,21.5,11.9,5,2,1.9
All other subjects,Male & Female,2011,27434,0.5,1.8,10.2,20.3,24.8,20.5,12.2,5.8,2.4,2
All Subjects,Male,2012,2562885,100,6,12.9,20.4,26.1,17.4,8.9,4.8,2.3,1.2
All Subjects,Male,2011,2531896,100,6.4,13.4,20.5,25.7,16.5,8.9,4.8,2.4,1.4
All Subjects,Female,2012,2662403,100,8.7,16.9,23,24.7,14.3,6.7,3.3,1.6,0.8
All Subjects,Female,2011,2620074,100,9.1,17.4,22.8,24.2,13.8,6.7,3.4,1.7,0.9
All Subjects,Male & Female,2012,5225288,100,7.3,15.1,21.7,25.3,15.9,7.7,4.1,1.9,1
All Subjects,Male & Female,2011,5151970,100,7.8,15.4,21.7,24.9,15.1,7.8,4.1,2,1.2
